Column1,Column2,Column3,Column4,Column5,Column6,Column7
19th,Avenue,11 122969 000 00 PRE,4710 19th Ave Markham,"A pre-consultation request has been received for 4710 19th Ave from David Johnston Architects Ltd. The proposal is to rezone the property from residential to agriculture for the purposese of a landscape business and to permit the following uses: 1. Storing of trees and plants (purhased from others) for delivery to landscape sites 2. Storing of topsoil, sand, manure for mixing on site and delivery to landscape sites 3. Storing of large trucks, trailers, vans and graders ( excavators and heavey machinary) on site to assemble materials on the property and then transport materials to landscape sites 4. Warehousing of equipment and materials",Submission Requirements,
19th,Avenue,12 112576 000 00 PRE,2780 19th Ave Markham,A Pre Consultation Request Application has been received for 2780 19th Avenue. The applicant is proposing a to create a subdivision and redesignate the subject property to permit industrial and commercial uses on the eastern half of the property.,Submission Requirements,
19th,Avenue,12 115413 000 00 PRE,4129 19th Ave Markham,A preconsultation request has been received for the above property to implement a rezoning to allow a severance to create a new rural residential lot and site plan to build a new single family dwelling.,Team Meeting,
19th,Avenue,12 120598 000 00 PRE,5474 19th Ave Markham,"A pre-consultation request has been received for 5474 19th Avenue, Markham. The applicant is proposing a 59.5 metre telecommunication tower that will be subject to site plan approval.",Application Received,
19th,Avenue,12 120598 000 00 SC,5474 19th Ave Markham,"A REVISED site plan has been submitted in support of a Site Plan Control application for a telecommunications tower at 5474 19th Ave. The property is located on the north side of 19th Ave between McCowan Rd and Hwy 48. As illustrated on the revised site plan, the proposed telecommunication tower and related equipment has been re-sited further north onto the subject property. The original location proposed the telecommunication tower to abut 19th Avenue. No revisions have been made to the elevations, which propose a 59.5 metre ground mounted telecommunication tower with a 100 square metre compound at its base to house equipment.",Approved,
19th,Avenue,12 129751 000 00 LD,2780 19th Ave Markham,"The applicant is requesting provisional consent to sever and convey a parcel of land with an approximate area of 11.45 hectares and an approximate frontage of 324.12 metres, while retaining a parcel of land with an approximate area of 24.91 hectares and an approximate frontage of 697metres. The purpose of this application relates to the creation of a parcel of land for future industrial/commercial development purposes.",Staff Review Completed,
19th,Avenue,13 113055 000 00 ZA,6278 19th Ave Markham,"A Zoning By-law amendment application has been received for 6278 19th Avenue. The subject site is located on the east side of Markham Road, north of 19th Avenue. The applicant proposes to rezone the lands from Single Family Rural Residential (RRH) zone under By-law 91-79 to Commercial/Institutional/Open Space with site specific provisions to permit a funeral establishment with accessory cemetery and related uses including burial gardens.",Under Review,
19th,Avenue,13 113055 000 00 PRE,6278 19th Ave Markham,"A request for pre-consultation has been received from Memorial Gardens Canada Limited for 6278 19th Avenue. The 40 Ha site is located at the northeast corner of Highway 48 and 19th Ave. The applicant is proposing to amend the zoning by-law to permit a funeral home and small cemetery on the west portion of the property, within the Hamlet designation.",Application Received,
19th,Avenue,13 116842 000 00 OP,3196 19th Ave Markham,"An Official Plan Amendment application has been received for 3010 and 3196 19th Avenue. The property is located at the north-east corner of Woodbine Avenue and 19th Avenue. The applicant is seeking to amend the current Official Plan designation from Agriculture, Hazard and Oak Ridges Moraine to Institutional to facilitate the development of the Holy Rosary Cemetery. The subject site has been designated Future Employment and Greenway within the draft Official Plan.",Received,
19th,Avenue,13 116900 000 00 PRE,3196 19th Ave Markham,"A Pre Consultation Request has been received for 3010 and 3196 19th Avenue. The property is located at the north-east corner of Woodbine Avenue and 19th Avenue. The applicant is seeking to amend the current Official Plan designation from Agriculture, Hazard and Oak Ridges Moraine to Institutional to facilitate the development of the Holy Rosary Cemetery. The subject site has been designated Future Employment and Greenway within the draft Official Plan.",Team Meeting,
